Pkregla	dominio	Tabla	Campo	Dimension	NombreRegla	descripcion	NombreReglaGreatExpectation	parametros	fecha	responsable	estado	indicadorTabla	path
214	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	sortl	Completitud 	STD CONCEPTO BUSQUEDA	SI (Y(EL CAMPO STCDT (TIPO NIF) = "N" (NIT); EL VALOR DEL CAMPO LAND1 (PAIS) = "CO" (COLOMBIA); EL VALOR DEL CAMPO FITYP  (CLASE DE IMPUESTO) = "PJ" (PERSONA JURIDICA) ENTONCES SI (EL LARGO DEL VALOR CAMPO SORTL (CONC.BUSQ) = 9 ENTONCES "CUMPLE" SINO "NO CUMPLE") SINO "NO APLICA")	expectativa_con_condicional_y_patron	{"condicion":"STCDT = 'N' AND LAND1 = 'CO' AND FITYP = 'PJ'","columna":"SORTL","patron":"^.{9}$"}	2026-01-30T16:24:39.558+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
210	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	ernam	Validez 	SEGURIDAD CREACION 	"SI EL VALOR DEL CAMPO ERNAM (CREADO POR) SE ENCUENTRA DENTRO DE LOS VALORES DE LA LISTA DE REFERENCIA LR001 ENTONCES ""CUMPLE"" SINO ""NO CUMPLE"""	expectativa_valores_por_referencia	{"columna":"ERNAM","dominio":"Proveedores","codigo":"LR001"}	2026-01-30T16:24:03.544+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
217	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	stcd1	Completitud 	STD IDENTIFICACION FISCAL	SI (Y(EL CAMPO STCDT (TIPO NIF) = "N" (NIT); EL VALOR DEL CAMPO LAND1 (PAIS) = "CO" (COLOMBIA); EL VALOR DEL CAMPO FITYP  (CLASE DE IMPUESTO) = "PJ" (PERSONA JURIDICA) ENTONCES SI (EL LARGO DEL VALOR CAMPO STCD1 (N° IDENT.FIS.1) = 10 ENTONCES "CUMPLE" SINO "NO CUMPLE") SINO "NO APLICA")	expectativa_con_condicional_y_patron	{"condicion":"STCDT = 'N' AND LAND1 = 'CO' AND FITYP = 'PJ'","columna":"STCD1","patron":"^.{10}$"}	2026-01-30T16:24:47.438+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
215	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	stkzn	Integridad	IND. PERSONA FISICA PROVEEDOR EXT	SI (EL VALOR DEL CAMPO KTOKK (GRUPO DE CUENTA) = "Z002" (PROVEEDORES EXTERIOR); ENTONCES SI (EL VALOR DEL CAMPO STKZN (GRUPO DE CUENTA) = "X" ENTONCES "CUMPLE" SINO "NO CUMPLE") SINO "NO APLICA")	expectativa_condicional_valores_en_lista	{"condicion":"KTOKK = 'Z002'","columna":"STKZN","lista":["X"]}	2026-01-30T16:24:42.212+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
213	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	name1	Validez 	TAXONOMIA NOMBRE PROVEEDOR	"SI (EL CAMPO NAME1 (NOMBRE)  NO CONTIENE O(""CARACTERES ESPECIALES"";""CARACTERES EN MINUSCULA"") ENTONCES ""CUMPLE"" SINO ""NO CUMPLE"""	expectativa_valores_con_patron	{"columna":"NAME1","patron":"^[A-Z0-9 .-]*$"}	2026-01-30T16:24:36.411+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
212	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	name4	Completitud 	TAXONOMIA APELLIDO PN	SI (EL CAMPO FITYP (CLASE IMPUESTO) = "PN" ENTONCES SI(EL CAMPO NAME4 (NOMBRE 4) CONTIENE "," SEPARANDO LOS APELLIDOS ENTONCES "CUMPLE" SINO "NO CUMPLE") SINO "NO APLICA")	expectativa_con_condicional_y_patron	{"condicion":"FITYP = 'PN'","columna":"NAME4","patron":"^[^,]+(,[^,]+)?$"}	2026-01-30T16:24:31.105+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
211	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	name3	Integridad	TAXONOMIA NOMBRE PN	SI (EL CAMPO FITYP (CLASE IMPUESTO) = "PN" ENTONCES SI(EL CAMPO NAME3 (NOMBRE 3) CONTIENE "," SEPARANDO LOS NOMBRES ENTONCES "CUMPLE" SINO "NO CUMPLE") SINO "NO APLICA")	expectativa_con_condicional_y_patron	{"condicion":"FITYP = 'PN'","columna":"NAME3","patron":"^[^,]+(,[^,]+)?$"}	2026-01-30T16:24:28.139+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
216	DP_PR-Proveedores	BR-SAP.SD.LFA1_CI	stkzn	Integridad	VALIDACIÓN PERSONA FISICA POR IDENT.	SI (EL VALOR DEL CAMPO KTOKK (GRUPO DE CUENTA) = "Z002" (PROVEEDORES EXTERIOR); ENTONCES "NO APLICA" SINO SI (EL VALOR DEL CAMPO STKZN (PERSONA FISIZA) = "X" ENTONCES "NO CUMPLE" SINO "CUMPLE"))	expectativa_valores_no_permitidos	{"condicion":"KTOKK <> 'Z002' AND LAND1 = 'CO'","columna":"STKZN","valores":["X"]}	2026-01-30T16:24:45.075+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/MM/LFA1/*/*/*/*.parquet
218	DP_PR-Proveedores	BR-SAP.SD.LFB1	blnkz	Completitud 	STD IND. PREFERENCIA	SI (EL CAMPO BUKRS(SOCIEDAD) = DIC0 (DESPACHADORA INTERNACIONAL) ENTONCES SI (EL CAMPO BLNKZ (IN.PREF.) = "01")  ENTONCES "CUMPLE" SINO "NO CUMPLE") SINO "NO APLICA")	expectativa_condicional_valores_en_lista	{"condicion":"BUKRS = 'DIC0'","columna":"BLNKZ","lista":["01"]}	2026-01-30T16:24:49.751+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/FI/LFB1/*/*/*/*.parquet
219	DP_PR-Proveedores	BR-SAP.SD.LFB1	reprf	Validez 	VERIFICACIÓN FACTURA DOBLE	SI (EL CAMPO REPRF (VERIF.FRA.DOB.)="X" ENTONCES "CUMPLE" SINO "NO CUMPLE")	expectativa_condicional_valores_en_lista	{"condicion":"true","columna":"REPRF","lista":["X"]}	2026-01-30T16:24:52.581+00:00	cmpastrana@corona.com.co	false	0	abfss://bronce-zone@saarqanaliticaprd.dfs.core.windows.net/SAP/CI/DM/FI/LFB1/*/*/*/*.parquet
